ensembl_gene	chrom	start	end
AL157832.1	10	129768844	129769435
DUTP6	1	166868748	166869209
BRPF3	6	36196744	36232790
AC073581.1	8	25141394	25141968
ZBTB21	21	41986831	42010387
AL157832.2	10	129693722	129702117
AL358154.1	10	93772681	93788605
AL157396.1	10	93762453	93771991
FAM157B	9	138217068	138253217
AC016396.1	10	58304553	58305621
AC099343.3	4	184474802	184477304
S100A14	1	153614255	153616986
LGI1	10	93757840	93806272
AC099343.4	4	184484141	184490293
ILDR2	1	166895711	166975540
LINC02427	4	184503271	184537626
AC099343.1	4	184559175	184559783
FO082796.1	9	138286248	138286430
LINC02365	4	184584093	184625030
FO082796.2	9	138319898	138320835
AC068781.1	3	109915976	109916940
NRK	X	105822539	105958610
KATNBL1P3	18	2593674	2594913
NDC80	18	2571557	2616635
WDR97	8	144107726	144118328
SCAF11	12	45919131	45992120
AC134682.1	8	142403652	142407028
SHISA8	22	41909554	41914667
C8orf82	8	144525733	144529132
MRS2	6	24402908	24426194
AC069547.1	10	50334538	50336123
AC069547.2	10	50325697	50341585
AC130456.1	16	19315164	19316526
SGMS1	10	50305586	50625163
CLEC19A	16	19285731	19322145
MICAL1	6	109444062	109465968
LINC02858	16	19334011	19337804
LRRC14	8	144517992	144525172
TTC30B	2	177548998	177552796
TNFRSF13C	22	41922023	41926818
CHTOP	1	153633982	153646306
SHARPIN	8	144098633	144108124
ATOH7	10	68230595	68232113
NOX1	X	100843324	100874359
AC005244.2	17	12201600	12215267
AC084167.1	17	12390738	12395177
AC130456.2	16	19343647	19401693
AC133637.2	15	89361157	89362421
AC130456.7	16	19392213	19393468
AC025040.1	15	49877299	49883525
AC068442.1	17	12596743	12632959
AP000769.1	11	65455258	65466720
LINC00670	17	12549764	12642854
AL023284.3	6	136364129	136365079
SLC27A2	15	50182196	50236385
IL21	4	122610108	122621066
MND1	4	153344649	153415118
AL024508.2	6	136550661	136552554
SRSF5	14	69726900	69772005
NDUFS5P1	6	136475862	136476150
ZMYND12	1	42430329	42456253
AURKB	17	8204733	8210600
CD8B2	2	106487364	106544297
MAP7	6	136342281	136550819
LRRC24	8	144522388	144527033
ARV1	1	230978981	231000733
MAEL	1	166975582	167022214
AL355312.1	6	149904243	149906418
RAET1E	6	149883375	149898102
AC018362.3	15	42497395	42548786
AC108868.1	2	106521903	106538079
PPCS	1	42456117	42473385
AC108868.2	2	106521563	106544297
AC078918.1	3	109977540	109977767
LRRC57	15	42537820	42548802
AL117341.1	10	50472814	50474246
ADAM9	8	38996869	39105261
SGMS1-AS1	10	50623466	50641451
IL21-AS1	4	122618983	122689156
LINC02736	11	65487241	65488714
HMGN2P7	3	15375373	15375645
AP000769.6	11	65487884	65488896
KCNQ4	1	40783787	40840452
EEF1A1P12	2	106697331	106698676
SHQ1P1	10	50629532	50631075
LINC02579	2	64606975	64616556
AC005622.1	19	43690002	43700508
S100A1	1	153627926	153632039
AL445669.2	1	42570970	42571390
TNIP2	4	2741648	2756342
AL445669.1	1	42491739	42492493
MAF1	8	144104461	144107611
IRGC	19	43716076	43720021
AC092490.2	12	8664011	8669011
AL355312.6	6	149817937	149896011
AC092490.3	12	8678773	8679670
NUP43	6	149724315	149749665
NPM2	8	22024125	22036897
HLA-DOA	CHR_HSCHR6_MHC_DBB_CTG1	32982126	32987559
RPL28	19	55385345	55403250
SNAP23	15	42491233	42545356
GPLD1	6	24424565	24495205
AL162258.1	1	153626332	153634340
ARSA	22	50622754	50628173
FAM89A	1	231018958	231040254
FRMPD2	10	48153088	48274696
AL732414.1	1	231021611	231022183
AL162258.2	1	153631438	153634397
AL109810.1	1	231117831	231118325
S100A13	1	153618787	153631360
AC007365.2	2	64665607	64666064
AC027544.3	11	18450112	18450868
SERTAD2	2	64631621	64751005
LDHC	11	18412318	18452063
AC007365.1	2	64644612	64646698
TRIM67	1	231162112	231221556
TRIM27	CHR_HSCHR6_MHC_QBL_CTG1	28902991	28923978
LINC01800	2	64846130	64863626
AC007880.1	2	64836985	64848264
UBN1	16	4846665	4882401
AC103925.1	1	201222113	201223123
AC004930.1	7	124337380	124349860
AC006148.2	7	124274671	124288852
SSU72P8	7	124476371	124476955
AC020651.2	3	101878333	101925726
IGFN1	1	201190825	201228952
AC005521.1	7	124480524	124481395
RCN1	11	32090904	32105755
LINC02576	2	65030727	65053017
LINC02085	3	101940859	101997926
AC117430.1	3	110527482	110529582
AC006148.1	7	124032126	124489572
AC106712.1	3	101960358	101997926
RPSAP29	3	110682286	110683154
AC007386.1	2	64960053	64960634
SLC1A4	2	64988477	65023865
ILF2	1	153661788	153671028
AL109810.2	1	231184098	231187627
JOSD2	19	50505998	50511353
NECTIN3-AS1	3	110888384	111071553
RAET1G	6	149916878	149923121
AC097534.1	4	173322206	173329694
TMEM229A	7	124030921	124033067
ELP4	11	31509755	31790324
GALNT7	4	173168811	173323967
LILRP1	CHR_HSCHR19KIR_ABC08_AB_HAP_C_P_CTG3_1	54700593	54700905
AL355312.5	6	149797317	149826294
ZNRF4	19	5455417	5456856
AC245128.8	CHR_HSCHR19KIR_ABC08_AB_HAP_C_P_CTG3_1	54703952	54704235
BTBD10P2	6	149794763	149795746
LILRP2	CHR_HSCHR19KIR_ABC08_AB_HAP_C_P_CTG3_1	54707916	54713453
CCT7P1	6	149879962	149881572
NECTIN3	3	111070071	111275563
AC091982.2	5	151848886	151850791
AL355312.2	6	149796151	149799150
GLRA1	5	151822513	151924842
C1orf194	1	109105951	109113857
RAET1E-AS1	6	149884431	149919508
GNPAT	1	231241207	231277973
UBE2S	19	55399745	55407788
AL355312.3	6	149863494	149919507
AL158837.1	1	167052551	167058542
AL355312.4	6	149852462	149853192
AC083906.1	3	129998531	129998936
AL360227.1	6	111227747	111259034
GPA33	1	167052836	167166479
LHX1-DT	CHR_HSCHR17_7_CTG4	36863468	36938493
AC083906.5	3	130002789	130003007
SLC16A10	6	111087503	111231194
AC083906.2	3	130013182	130013541
MALAT1	11	65497688	65506516
OR7E129P	3	130021553	130022520
OR7E21P	3	130034553	130035539
HMGB4	1	33860475	33864791
AC083906.4	3	130048143	130055920
PKP1	1	201283452	201332993
KDM6B	17	7839904	7854796
PARS2	1	54756898	54764523
LINC02245	2	64901840	65056168
CSMD2-AS1	1	33868953	33893726
GPT2	16	46884362	46931289
AP000769.2	11	65498010	65498405
BEND3P1	10	50655967	50660472
LINC02640	10	68233251	68242379
AL451050.1	1	167162423	167162837
KRT19P4	10	68260557	68261499
SNAPIN	1	153658703	153661852
AC105285.1	4	173094868	173169652
DUSP27	1	167094075	167129165
AC092140.1	16	56409320	56411683
ST6GAL2-IT1	2	106822923	106825031
ALDH16A1	19	49453225	49471050
AMFR	16	56361452	56425545
ST6GAL2	2	106801600	106887108
RPGRIP1	14	21287939	21351301
KIR2DP1	CHR_HSCHR19KIR_ABC08_AB_HAP_C_P_CTG3_1	54754976	54767325
KIR2DL3	CHR_HSCHR19KIR_ABC08_AB_HAP_C_P_CTG3_1	54738471	54753005
FAM90A1	12	8221260	8227618
GLYR1	16	4803203	4847288
PCNPP1	12	111669852	111670362
BRAP	12	111642146	111685956
ZPLD1	3	102099244	102479841
EBI3	19	4229523	4237528
TINCR	19	5558167	5578349
NPR1	1	153678688	153693992
SNRPEP4	19	5576660	5576938
RPL32P1	CHR_HSCHR6_MHC_DBB_CTG1	33057389	33057798
AC003991.2	7	88216660	88219226
METTL6	3	15381275	15440566
HLA-DPB1	CHR_HSCHR6_MHC_DBB_CTG1	33053864	33065131
C1orf131	1	231223763	231241187
ZNF114	19	48270081	48287608
SRI	7	88205118	88226993
AC074325.1	10	48246525	48248512
LINC02666	10	129784983	129806971
CSMD2	1	33513999	34165842
AC005578.1	19	4246339	4247358
YJU2	19	4247080	4269088
LRRFIP1P1	3	179259028	179261273
KCNMB3	3	179236691	179267002
SNAPC4	9	136375577	136400168
CORO1B	11	67435510	67443821
EBF3	10	129835283	129963841
ZNF114-AS1	19	48262900	48271283
PABPC1P3	X	74583088	74583546
RLIM	X	74582976	74614624
LINC01933	5	151949571	152270449
AL662842.1	CHR_HSCHR6_MHC_COX_CTG1	32483164	32497705
KIR3DL3	CHR_HSCHR19KIR_ABC08_AB_HAP_C_P_CTG3_1	54724453	54767462
LINC01363	1	167175363	167195792
AC096536.1	1	54792885	54794905
CASP3	4	184627696	184649509
RPL23AP8	14	34694170	34694644
TTC22	1	54779712	54801323
AC016994.1	2	106834464	106841207
EAF1	3	15427598	15450635
NAALAD2	11	90131515	90192894
GEMIN2P1	1	153717303	153718347
AC010619.2	19	49474586	49487637
AL451050.2	1	167219831	167220512
AC010619.1	19	49462752	49486231
RPL13A	19	49487554	49492308
MLC1	22	50059391	50085902
WDR43	2	28894667	28948219
AL354950.2	10	129837505	129837794
AL354950.3	10	129857638	129867384
AL354950.1	10	129845328	129845895
AC091515.1	12	81868368	81869046
SLC2A9	4	9771153	10054936
AP005061.1	18	2652170	2655395
ENPP7P3	3	130167790	130168030
FAM86HP	3	130099092	130111472
LINC02426	12	81953719	81993136
AC084878.1	12	46004038	46004685
ORC3	6	87590067	87667453
LINC00324	17	8220642	8224043
COLQ	3	15450133	15521751
AL117352.1	1	231339421	231339558
EXOC8	1	231332753	231337852
AC011602.1	12	81998632	81998962
PIK3CA	3	179148114	179240093
PLEKHM1	17	45435900	45490749
CRY2	11	45847118	45883248
SPRTN	1	231337104	231355023
AC130888.1	3	130181346	130188814
ALG1L2	3	130081831	130113227
AL139123.1	10	130104569	130104998
C10orf143	10	130020025	130110830
PTRH1	9	127690348	127724873
LINC02021	3	130111669	130201336
REEP3	10	63521401	63625128
HLA-DPA1	CHR_HSCHR6_MHC_DBB_CTG1	33042507	33058713
CTAGE7P	10	130106046	130108481
SNRPCP8	3	130199708	130199918
LINC02014	3	130089433	130094304
CCDC59	12	82223681	82358805
PTPRCAP	11	67435510	67437682
AC018712.1	2	172674212	172674898
CACNG7	19	53909335	53943941
AC241851.2	CHR_HSCHR2_1_CTG7	90365762	90367722
AL023284.2	6	136419847	136420425
AC005954.2	19	3753840	3756517
AC041005.1	8	25179113	25184234
PCARE	2	29060976	29074523
AC073592.9	12	124542503	124542873
AL359885.1	X	81363268	81364170
PERM1	1	975204	982093
AC073592.6	12	124561869	124562283
TOGARAM2	2	28956611	29061373
AC073592.1	12	124513222	124516798
AC073592.5	12	124555905	124556432
AP001469.3	21	46251549	46254133
AC073592.7	12	124529722	124530228
METTL25	12	82358528	82479239
AC073916.1	12	124383381	124383510
PLEKHN1	1	966482	975865
MCM3AP-AS1	21	46229196	46259390
AC073592.3	12	124537844	124539677
SNHG3	1	28505980	28510892
BBS2	16	56466836	56520087
ALDH2	12	111766887	111817532
STEAP4	7	88270892	88306891
CFAP157	9	127706988	127716002
AC091132.2	17	45452844	45464065
TJP3	19	3708362	3750813
CACNG8	19	53963040	53990215
AL079341.1	6	38587323	38588529
AC018362.1	15	42497394	42532840
BTBD9-AS1	6	38481692	38482531
RCC1	1	28505943	28539300
NCOR2	12	124324415	124567589
AL360268.2	9	128039135	128057362
AC020663.3	16	4839244	4840334
BTBD9	6	38168451	38640148
AC063938.1	3	102621061	102673986
MTCO1P20	22	36172422	36172779
TRIB2	2	12716889	12742734
AC053545.1	4	122700445	122708788
PIH1D1	19	49446298	49453497
HNRNPA1P26	X	100855288	100856379
CETN4P	4	122728532	122732482
NDUFA4P2	3	103240987	103241230
AC046144.1	3	103538635	103540487
TUBBP11	3	103630661	103630912
AC108199.1	4	9922814	9924146
CACNG6	19	53992288	54012669
DRD5	4	9781634	9784009
MTCO2P20	22	36172934	36173948
AC005674.1	4	10006482	10009725
AC074033.1	3	169447867	169477052
AP001469.2	21	46246890	46247682
AC007849.1	3	169613510	169623951
RIBC2	22	45413693	45432509
EDEM2	20	35115364	35147336
ADNP2	18	80109262	80147523
MCM3AP	21	46235133	46286297
AC003991.1	7	88219359	88304367
AC089998.3	12	82468456	82468948
PALMD	1	99646113	99694541
AC016396.2	10	58325614	58327030
AL451136.1	1	45329262	45491155
ADSSL1	14	104724186	104747325
TESK2	1	45343883	45491163
AC089998.4	12	82481118	82497560
ABCF1	CHR_HSCHR6_MHC_COX_CTG1	30561217	30587022
AL021391.1	22	45435864	45448743
ATP6V1F	7	128862856	128865847
AC089998.2	12	82505211	82506188
AC022022.1	10	63489461	63489638
AL513220.1	1	37596126	37607336
EIF2AK4	15	39934115	40035591
AC089998.1	12	82512677	82515817
AC084114.1	8	117265272	117318701
AC091214.1	12	82673070	82686632
HNRNPA1P27	X	100887636	100888590
MTATP6P20	22	36174261	36174822
DNAJA2	16	46955362	46973674
BBS12	4	122732702	122744942
ALG1L10P	12	8227734	8231764
KCP	7	128862451	128910719
SERPINA7	X	106032435	106038727
AL035078.2	11	32064912	32072173
AL078612.1	11	32097143	32105091
CITED4	1	40861054	40862363
AL035078.3	11	32052843	32053260
CCDC159	19	11344684	11354944
AC002996.1	12	111753890	111791418
NAIF1	9	128061233	128068206
MTCO3P20	22	36175167	36175854
C17orf99	17	78146353	78166177
AC021205.2	4	122815771	122816117
RAC1P8	13	61805150	61805676
Z73417.1	X	100910712	100911489
MTCYBP34	22	36175857	36176526
CD4	12	6786858	6820799
TPTE2P1	13	24924677	24968487
BMP3	4	81030708	81057632
AC003988.1	7	80246409	80312456
AC105398.1	2	29088649	29097586
AL139395.1	X	74769639	74769798
NEXMIF	X	74732856	74925485
ACAD10	12	111686056	111757107
PPIAP36	1	45415020	45415344
AL512661.1	X	106070481	106073202
NUTM2HP	10	50676743	50686326
EIF5AP2	17	78157403	78159135
COQ4	9	128322544	128334072
RPS10P16	8	117523271	117524061
MED30	8	117520713	117540262
SLC25A25-AS1	9	128108581	128118693
SLC25A15P3	13	24943575	24944498
AL353765.1	13	61927090	61927272
ALDH7A1P2	2	172893763	172894383
AL354798.1	13	24933006	24936796
SLC25A25	9	128068201	128109245
HLA-N	CHR_HSCHR6_MHC_DBB_CTG1	30341669	30341803
AC073834.1	2	177603089	177618572
RAPGEF4	2	172735274	173052893
PDXDC2P	16	70010751	70065945
TTC30A	2	177612999	177618742
SYNGR2	17	78168558	78173527
AC023315.1	CHR_HSCHR17_7_CTG4	36941879	36945288
AC006480.2	7	67333047	67334383
LHX1	CHR_HSCHR17_7_CTG4	36938617	36946445
STAG3L4	7	67302621	67362950
SNRPGP19	11	65514403	65514923
AL645608.7	1	995966	998051
TBC1D4	13	75283503	75482169
PPP1R2P5	2	106940880	106941482
MUTYH	1	45329163	45340893
AC005040.2	2	106933739	106996534
NUDT21	16	56429133	56452199
AC012314.13	19	54031412	54031504
AC023157.2	12	31748100	31748240
AC027129.1	3	15501439	15504060
ZNF334	20	46499630	46513559
AC005040.1	2	106963193	106963674
AC023157.1	12	31754720	31755121
EAF1-AS1	3	15436171	15455940
LINC00358	13	61997136	62029572
AC009022.1	16	69976297	70065948
LINC01556	CHR_HSCHR6_MHC_QBL_CTG1	28943865	28944525
H3F3C	12	31791185	31792298
AC006480.1	7	67307605	67308356
AC023050.3	12	31853021	31853407
KRT18P1	CHR_HSCHR6_MHC_QBL_CTG1	28969118	28970448
CR759281.1	CHR_HSCHR6_MHC_DBB_CTG1	30349532	30350165
LINC02422	12	31876969	31959316
UBQLN1P1	CHR_HSCHR6_MHC_DBB_CTG1	30353364	30354532
HSPD1P14	1	33838523	33840140
AC023050.1	12	31897820	31898123
AC023050.4	12	31893370	31893702
AC023050.5	12	31953889	31955268
LINC01886	2	107529292	107556499
RPL12P32	12	31948334	31948827
AC018845.3	16	46973989	46978983
RPS6KA1	1	26529761	26575030
COL6A4P2	3	130212823	130273806
AP001381.1	18	9587386	9590182
LINC01789	2	107254691	107365873
H3F3AP1	15	39951375	39951708
AC119677.1	1	40863914	40876670
B4GALT5	20	49632945	49713878
LINC01885	2	107382715	107748270
PPP4R1	18	9546791	9615240
ACBD5	10	27195214	27242130
UQCRHP1	CHR_HSCHR6_MHC_APD_CTG1	31678099	31678372
FAM86FP	12	8232512	8242948
AC064869.1	2	107698737	107746941
AC096669.1	2	107362282	107407329
LINC02449	12	8235415	8242564
MT1P3	20	35218009	35218185
OGFOD1	16	56451521	56479104
AL024507.1	6	107985089	107985690
PROCR	20	35172072	35216240
AL929561.3	CHR_HSCHR6_MHC_QBL_CTG1	28986785	28988521
ADGRB1	8	142449430	142545009
RPSAP26	2	62146413	62147153
AL513523.4	1	153746851	153751227
MTHFD2P3	6	107985811	107986031
HCG15	CHR_HSCHR6_MHC_QBL_CTG1	28986188	28987469
COMMD1	2	61888724	62147247
AL391730.2	1	40939294	40945524
AC018845.1	16	47004513	47035385
SLC44A2	19	10602457	10644557
UBE2V1P8	1	40942251	40942515
RPL3P7	6	108004357	108005568
AC018845.2	16	47013957	47014365
ATP6V1FNB	7	128866330	128872047
AL391730.1	1	40938104	40939763
AP000695.1	21	36430360	36481070
INTS3	1	153728050	153774808
CLDN14	21	36460621	36576569
AC011472.2	19	11300777	11324441
NPIPB14P	16	69976388	69996188
FLNC	7	128830377	128859274
ZBTB24	6	109462594	109483237
TK1	17	78174091	78187233
NMUR2	5	152391532	152433368
A2ML1	12	8822621	8887001
MMP24	20	35226690	35276998
TMEM205	19	11342776	11346518
BEX1	X	103062651	103064171
HMGB3P10	1	99698242	99699178
AC018462.1	2	62069447	62146881
AC092745.1	12	8321876	8329614
LINC00937	12	8295986	8396803
AC073850.1	7	80662331	80662585
AC008571.1	5	152495718	152496017
OCSTAMP	20	46540946	46550654
AC008571.2	5	152374998	152726160
AP000695.3	21	36485867	36487760
LINC01470	5	152618965	153223543
PSMD4P1	21	36485983	36487411
AC092745.3	12	8340182	8340397
RPS3AP43	12	8359054	8359834
CD36	7	80369575	80679277
AC092745.2	12	8320381	8369555
AP000695.2	21	36445731	36532408
AC092745.5	12	8243147	8342048
AP000696.2	21	36526280	36542855
AC092865.3	12	8396423	8396641
ENPP7P5	12	8254527	8308855
AL121753.2	20	35262727	35264187
AC092865.4	12	8390270	8390488
AC092745.4	12	8282677	8286518
MMP24OS	20	35201745	35278131
Z98200.1	6	108030249	108030718
AC064875.1	2	12780593	13007029
PMPCA	9	136410641	136423761
AC019254.2	15	101116603	101117546
USP14	18	158383	214629
FLT3LG	19	49474207	49486231
AC004925.1	7	124742312	124745017
GPR37	7	124743885	124765792
AC019254.1	15	101168530	101170821
LINC01075	13	62212577	62249947
AL139230.1	13	75375511	75377294
FIGLA	2	70777310	70790643
AC093912.1	2	13000953	13331683
AL360268.1	9	128090969	128094457
AC092140.2	16	56465642	56466162
AC073062.1	2	13537673	13609168
RAP1BP2	3	104063039	104063582
AL121753.1	20	35267885	35280043
AC091804.1	3	104502700	104503266
AC009404.1	2	117833937	117841658
AC016730.1	2	13723048	13758152
AL356652.1	20	35174355	35174919
LINC00276	2	13710531	14400963
PPP1R1A	12	54575387	54588659
LEXM	1	54806063	54842252
CENPM	22	41938737	41947152
AC011472.3	19	11322156	11324195
AP000696.3	21	36580172	36581229
DDX18	2	117814691	117832377
AP000696.1	21	36632681	36637033
TSPAN16	19	11296139	11326996
EML2-AS1	19	45641494	45642840
ZNF639	3	179323031	179338583
EIF6	20	35278911	35284985
AC003080.1	7	111971222	111971988
SIM2	21	36699115	36749917
EML2	19	45606994	45645629
DOCK4-AS1	7	111808516	111821773
PDE1B	12	54549601	54579239
PRDX3P2	1	28526318	28527227
AC003077.1	7	111757051	111762216
SHISA7	19	55428740	55442863
TNXB	CHR_HSCHR6_MHC_DBB_CTG1	32016970	32093383
DOCK4	7	111726110	112206411
POU2F1	1	167220876	167427345
SYT12	11	67006778	67050863
MPO	17	58269855	58280935
SLC4A3	2	219627394	219641980
HNRNPH3	10	68331174	68343191
RAB3D	19	11322068	11346270
RPL34P27	13	24988577	24988925
AL138690.1	13	34925834	34928076
MICC	CHR_HSCHR6_MHC_DBB_CTG1	30404972	30409576
AP000697.1	21	36698773	36701564
SLPI	20	45252239	45254564
THOC1	18	214520	268050
AC011897.1	2	14616428	14630192
LSP1P1	13	25017404	25017536
C7orf77	7	124777292	124790810
AL590099.1	13	25017766	25017903
HES4	1	998962	1000172
LINC01074	13	62321305	62322398
ISOC2	19	55452985	55462343
ATP6AP1L	5	82279462	82386977
OSTM1-AS1	6	108123457	108159392
RPL7P61	2	163152251	163153307
AL445524.2	1	231363797	231528603
CACYBPP2	2	183607442	183608119
AC093639.3	2	183897950	183902147
FLNC-AS1	7	128850162	128862626
OSTM1	6	108041409	108165854
AL445524.1	1	231520729	231528618
AC093639.1	2	183904529	183949112
AC241851.1	CHR_HSCHR2_1_CTG7	90359653	90359876
COPS8P3	11	78581675	78582156
IGKV1OR2-118	CHR_HSCHR2_1_CTG7	90315366	90315836
AC093639.2	2	183997372	184002264
AC233263.5	CHR_HSCHR2_1_CTG7	90309230	90309333
AC096555.1	2	184049467	184187573
AC020584.1	2	184204372	184382869
AC006450.1	9	124010530	124011114
MTND1P10	22	36178554	36179385
FIGN	2	163593396	163736012
AC006450.2	9	124031624	124032524
AC006450.3	9	124006277	124009396
AC096667.1	2	184593577	184599008
LHX2	9	124001670	124033301
ZNF804A	2	184598529	184939492
UBE2D1	10	58334979	58370751
PRPS1P1	2	164213539	164214414
AC016766.1	2	163743913	164352223
SEC23B	20	18507520	18561415
ARHGAP31-AS1	3	119314293	119322760
MTATP6P21	7	67627831	67628019
CYP2C56P	2	164321933	164322223
RPS26P21	3	119298665	119299012
RPL23AP33	2	184902111	184902562
ARHGAP31	3	119294383	119420714
AC007823.1	3	179340322	179341887
PABPC3	13	25095868	25099254
AC021205.3	4	122879778	122885805
TMPOP1	CHR_HSCHR6_MHC_DBB_CTG1	30456729	30458271
ENTR1	9	136401922	136410614
NUDT6	4	122888697	122922968
DDTP1	3	38515448	38515830
MICB	CHR_HSCHR6_MHC_DBB_CTG1	31480101	31493317
EGLN1	1	231363751	231422287
SHD	19	4278601	4290724
RPL18AP7	3	38526802	38527325
PBLD	10	68282660	68333049
MTCO3P41	7	67628022	67628349
PLEKHM1	CHR_HSCHR17_1_CTG5	45435832	45490687
AC005482.1	7	67691058	67697029
AL359757.2	13	25141536	25141809
SUCLA2P1	CHR_HSCHR6_MHC_DBB_CTG1	30459163	30460532
EXOG	3	38496127	38542161
AFMID	17	78187317	78207701
CYP21A2	CHR_HSCHR6_MHC_DBB_CTG1	32014113	32017485
RRAGB	X	55717739	55758774
HNRNPAB	5	178204533	178211163
FGF2	4	122826708	122898236
C9orf72	9	27535640	27573866
RPL32P28	13	62327988	62328384
STAT5A	17	42287547	42311943
TCF19	CHR_HSCHR6_MHC_QBL_CTG1	31150981	31156655
FRRS1	1	99708632	99766631
LINC00582	1	231591292	231612090
M6PR	12	8940361	8949761
AC026782.1	5	82545862	82546310
TSNAX	1	231528541	231566524
AC026782.2	5	82586776	82587411
AC021205.1	4	122840343	122840690
AC008885.2	5	82765404	82766333
AC096536.2	1	54886875	54888001
RPL5P16	5	82777797	82778586
AC008885.1	5	82824884	82825184
DHCR24	1	54849627	54887195
DISC1-IT1	1	231925834	231945233
RING1	6	33208500	33212722
AL136171.2	1	231767464	231847706
FKRP	19	46746046	46776988
LINC00459	13	62323657	62328833
AC005674.2	4	10068089	10073019
AC096949.1	1	99842610	99842761
AC009022.2	16	70079129	70079624
RUFY2	10	68341107	68407294
GLYCAM1	12	54608187	54610462
AL513523.3	1	153750983	153752176
TMIGD2	19	4292232	4302431
TSNAX-DISC1	1	231528653	231819244
UQCRHP1	CHR_HSCHR6_MHC_QBL_CTG1	31601313	31601586
SLC27A3	1	153774354	153780157
LINC01338	5	82848260	82859958
AC108174.1	5	82919376	82921119
AC092648.1	7	67769629	67770468
AC027338.2	5	82940458	82940983
RANP1	CHR_HSCHR6_MHC_DBB_CTG1	30476183	30476833
ST13P12	5	82968888	82977153
RAPGEF4-AS1	2	172677141	172736206
DOCK5	8	25184689	25418082
PHC1	12	8913896	8941467
AL359757.1	13	25190063	25190317
LINC01053	13	25168969	25190643
PPIAP32	10	130131770	130132241
LINC00463	13	25172828	25180079
AK4P4	9	5855781	5856426
AMER2	13	25161684	25172288
AL390783.1	10	18206127	18261504
ERO1A	14	52639915	52695900
AC092637.1	7	68020235	68036917
AL450384.2	10	18513115	18545651
ATF6B	CHR_HSCHR6_MHC_DBB_CTG1	32091037	32104024
MTCO1P57	7	68097737	68098250
PAF1	19	39385629	39391154
AC006013.1	7	68091223	68119209
RPL36AL	14	49618530	49620626
NPEPPS	17	47522942	47623276
AL163192.1	9	27391734	27397563
IFNK	9	27524314	27526498
LINC01076	13	25193107	25210295
AL451123.1	9	27529085	27543902
RPL23AP69	13	25206049	25206506
AC062037.2	2	85387074	85387146
MOB3B	9	27325209	27529814
CACNB2	10	18140677	18543557
LRRC37A5P	9	111602831	111631289
PHYKPL	5	178208471	178232802
AL139099.1	14	49620815	49623480
MGAT2	14	49620799	49623481
G3BP2	4	75642782	75724525
CHSY1	15	101175727	101252048
AC093655.1	7	68149548	68319676
ELMOD3	2	85354394	85391752
AL451123.2	9	27495857	27498251
KIR2DL1	CHR_HSCHR19KIR_ABC08_AB_HAP_C_P_CTG3_1	54769765	54784000
MTND4P3	7	68266319	68266859
AL136310.1	6	111494991	111495713
AC093655.2	7	68241637	68242267
REV3L-IT1	6	111360641	111361607
CCDC93	2	117915478	118014133
AC087645.1	17	78211618	78211908
ACOX1	17	75941507	75979177
MFSD4B	6	111259279	111445354
LRRC37A6P	10	27246350	27259455
HMGN2P21	2	70803157	70803426
LINC01816	2	70124036	70125317
SNRPD2P2	1	231475956	231476288
TMTC2	12	82686880	83134870
ARMC4P1	10	27258762	27288824
DHCR24-DT	1	54887563	54888850
VSTM1	19	54040825	54063953
AL160291.1	10	27243130	27250804
PWWP3B	X	106168305	106208956
AC096536.3	1	54874672	54883664
C19orf85	19	55463002	55464707
AC091185.2	8	25276945	25277476
AL139099.2	14	49629291	49629890
AC008735.5	19	55467438	55467934
DNAAF2	14	49625174	49635230
DISC1	1	231626815	232041272
AC008735.3	19	55475983	55476482
ZNF628	19	55476617	55484487
MFN1	3	179347709	179394936
RPL30P5	4	83502699	83503034
AL356102.1	13	62397645	62397916
AL133271.1	X	106327534	106327824
SLC25A14P1	4	83477524	83478424
ABRAXAS1	4	83459517	83523348
TREML1	6	41149342	41154337
AC007395.1	2	70810798	70811474
AC131649.1	16	10351440	10352752
CLEC4F	2	70808643	70820599
NAT14	19	55485188	55487568
AL391419.1	X	55961208	55962482
ATF7IP2	16	10326434	10483638
AL050309.1	X	55908123	56209271
TRAF3IP2-AS1	6	111483511	111598302
SQSTM1P1	13	62406058	62406916
AL590440.2	1	54974900	54980464
RPS6P14	10	48292699	48293417
NAP1L4P2	X	106466542	106467440
AC018462.2	2	62168862	62171163
APOM	CHR_HSCHR6_MHC_COX_CTG1	31639825	31645618
TSBP1	CHR_HSCHR6_MHC_SSTO_CTG1	32300437	32379326
AL590440.1	1	54980950	54992274
HLA-E	CHR_HSCHR6_MHC_DBB_CTG1	30479706	30484444
TMEM61	1	54980628	54992288
SERPINA7P1	X	106562774	106563404
SAMD4B	19	39342396	39385710
B3GNT2	2	62196115	62224731
AL590808.1	X	106566021	106566161
RPL6P25	12	83151331	83152190
AC090680.1	12	83171590	83172740
DHRS4-AS1	14	23938219	24052555
AC093025.1	12	83661009	83661719
AL133453.1	14	52640839	52641566
CD207	2	70830211	70835816
AC093159.2	2	62348948	62350739
AC090679.3	12	84147304	84154338
AC027338.1	5	83012285	83013109
AL445668.1	13	62539351	62574905
AC093159.1	2	62463127	62464070
ZNF70P1	6	33215705	33216328
AC090679.2	12	84154434	84294562
DYNC1I2	2	171687409	171748420
AC104118.1	5	83049376	83050964
REV3L	6	111299028	111483715
TMEM17	2	62500218	62511894
AC087888.1	12	84448625	84449878
